table_name,row_count,column_name,data_type,null_count,distinct_count
lead_log,8,id,int64,0,8
lead_log,8,lead_id,str,0,5
lead_log,8,source_category,str,0,2
lead_log,8,created_at,str,0,5
lead_log,8,preferred_location,str,0,3
lead_log,8,timezone_location,str,0,1
lead_log,8,current_status,str,0,5
paid_transactions,14,transaction_id,str,0,14
paid_transactions,14,transaction_status,str,0,1
paid_transactions,14,transaction_at,str,0,14
paid_transactions,14,transaction_location,str,0,6
paid_transactions,14,timezone_transaction,str,0,2
paid_transactions,14,transaction_type,str,0,2
referral_rewards,3,id,int64,0,3
referral_rewards,3,reward_value,str,0,3
referral_rewards,3,created_at,str,0,3
referral_rewards,3,reward_type,int64,0,1
user_logs,29,id,int64,0,29
user_logs,29,user_id,str,0,9
user_logs,29,name,str,0,7
user_logs,29,phone_number,str,0,9
user_logs,29,homeclub,str,0,6
user_logs,29,timezone_homeclub,str,0,2
user_logs,29,membership_expired_date,str,0,9
user_logs,29,is_deleted,bool,0,2
user_referral_logs,96,id,int64,0,96
user_referral_logs,96,user_referral_id,str,0,78
user_referral_logs,96,source_transaction_id,str,79,17
user_referral_logs,96,created_at,str,0,96
user_referral_logs,96,is_reward_granted,bool,0,2
user_referral_statuses,3,id,int64,0,3
user_referral_statuses,3,description,str,0,3
user_referral_statuses,3,created_at,str,0,2
user_referrals,46,referral_at,str,0,44
user_referrals,46,referral_id,str,0,46
user_referrals,46,referee_id,str,3,37
user_referrals,46,referee_name,str,3,35
user_referrals,46,referee_phone,str,0,33
user_referrals,46,referral_reward_id,float64,38,3
user_referrals,46,referral_source,str,0,3
user_referrals,46,referrer_id,str,13,13
user_referrals,46,transaction_id,str,13,27
user_referrals,46,updated_at,str,0,40
user_referrals,46,user_referral_status_id,int64,0,3
